Date,Timepoint,Treatment,Rep,Plated,Count,Dilution,Titer,Status,Notes
20211123,7,Cocktail,2,Phage_606,13,3,6.50E+06,Good,
20211123,7,Cocktail,3,Phage_606,14,6,7.00E+09,Good,
20211123,7,Cocktail,4,Phage_606,7,0,3.50E+03,Good,
20211123,7,Cocktail,5,Phage_606,17,4,8.50E+07,Good,
20211123,7,Cocktail,6,Phage_606,27,3,1.35E+07,Good,
20211123,7,2811,1,Phage_Lminus,0,0,0.00E+00,Good,
20211123,7,2811,2,Phage_Lminus,0,0,0.00E+00,Good,
20211123,7,2811,3,Phage_Lminus,11,3,5.50E+06,Good,
20211123,7,2811,4,Phage_Lminus,0,0,0.00E+00,Good,
20211123,7,2811,5,Phage_Lminus,0,0,0.00E+00,Good,
20211123,7,2811,6,Phage_Lminus,14,3,7.00E+06,Good,
20211123,7,Cocktail,1,Phage_Lminus,6,1,3.00E+04,Good,
20211123,7,Cocktail,2,Phage_Lminus,7,3,3.50E+06,Good,
20211123,7,Cocktail,3,Phage_Lminus,22,3,1.10E+07,Good,
20211123,7,Cocktail,4,Phage_Lminus,3,2,1.50E+05,Good,
20211123,7,Cocktail,5,Phage_Lminus,5,3,2.50E+06,Good,
20211123,7,Cocktail,6,Phage_Lminus,14,3,7.00E+06,Good,
20211123,7,2811,1,Phage_Ominus,0,0,0.00E+00,Good,
20211123,7,2811,2,Phage_Ominus,0,0,0.00E+00,Good,
20211123,7,2811,3,Phage_Ominus,15,3,7.50E+06,Good,
20211123,7,2811,4,Phage_Ominus,0,0,0.00E+00,Good,
20211123,7,2811,5,Phage_Ominus,0,0,0.00E+00,Good,
20211123,7,2811,6,Phage_Ominus,7,4,3.50E+07,Good,
20211123,7,Cocktail,1,Phage_Ominus,3,2,1.50E+05,Good,
20211123,7,Cocktail,2,Phage_Ominus,4,3,2.00E+06,Good,
20211123,7,Cocktail,3,Phage_Ominus,7,5,3.50E+08,Good,
20211123,7,Cocktail,4,Phage_Ominus,2,1,1.00E+04,Good,
20211123,7,Cocktail,5,Phage_Ominus,31,4,1.55E+08,Good,
20211123,7,Cocktail,6,Phage_Ominus,18,2,9.00E+05,Good,
20211124,8,2811,1,Bacteria,0,0,0.00E+00,Good,
20211124,8,2811,2,Bacteria,144,6,1.44E+09,Good,
20211124,8,2811,3,Bacteria,169,4,1.69E+07,Good,
20211124,8,2811,4,Bacteria,0,0,0.00E+00,Good,
20211124,8,2811,5,Bacteria,0,0,0.00E+00,Good,
20211124,8,2811,6,Bacteria,340,0,3.40E+03,Good,
20211124,8,Cocktail,1,Bacteria,191,6,1.91E+09,Good,
20211124,8,Cocktail,2,Bacteria,159,6,1.59E+09,Good,
20211124,8,Cocktail,3,Bacteria,88,6,8.80E+08,Good,
