Date,Treatment,Rep,Timepoint,Plated,Count,Dilution,Titer,Status,Notes
20210521,L+O,6,3,Bacteria,12,2,1.20E+04,Good,
20210521,L+O,7,3,Bacteria,82,2,8.20E+04,Good,
20210521,L+O,8,3,Bacteria,1092,2,1.09E+06,Good,
20210521,L+O,9,3,Bacteria,139,6,1.39E+09,REMOVE,
20210521,L+O,10,3,Bacteria,14,2,1.40E+04,Good,
20210521,L+O,11,3,Bacteria,107,5,1.07E+08,Good,
20210521,L+O,12,3,Bacteria,222,2,2.22E+05,Good,
20210521,EvoC,1,3,Phage_606,24,4,1.20E+08,Good,
20210521,EvoC,2,3,Phage_606,7,3,3.50E+06,Good,
20210521,EvoC,3,3,Phage_606,0,0,0.00E+00,REMOVE,
20210521,EvoC,4,3,Phage_606,37,5,1.85E+09,Good,
20210521,EvoC,5,3,Phage_606,5,5,2.50E+08,Good,
20210521,EvoC,6,3,Phage_606,12,5,6.00E+08,Good,
20210521,EvoC,7,3,Phage_606,28,5,1.40E+09,Good,
20210521,EvoC,8,3,Phage_606,10,3,5.00E+06,Good,
20210521,EvoC,9,3,Phage_606,20,5,1.00E+09,Good,
20210521,EvoC,10,3,Phage_606,0,0,0.00E+00,REMOVE,
20210521,EvoC,11,3,Phage_606,17,4,8.50E+07,Good,
20210521,EvoC,12,3,Phage_606,0,0,0.00E+00,Good,
20210521,L+O,1,3,Phage_606,10,4,5.00E+07,Good,
20210521,L+O,2,3,Phage_606,16,3,8.00E+06,Good,
20210521,L+O,3,3,Phage_606,7,4,3.50E+07,Good,
20210521,L+O,4,3,Phage_606,7,3,3.50E+06,Good,
20210521,L+O,5,3,Phage_606,33,4,1.65E+08,Good,
20210521,L+O,6,3,Phage_606,3,0,1.50E+03,Good,
20210521,L+O,7,3,Phage_606,10,4,5.00E+07,Good,
20210521,L+O,8,3,Phage_606,9,1,4.50E+04,Good,
20210521,L+O,9,3,Phage_606,0,0,0.00E+00,REMOVE,
20210521,L+O,10,3,Phage_606,38,6,1.90E+10,Good,
20210521,L+O,11,3,Phage_606,37,4,1.85E+08,Good,
20210521,L+O,12,3,Phage_606,21,2,1.05E+06,Good,
20210521,EvoC,1,3,Phage_Lminus,27,4,1.35E+08,Good,
20210521,EvoC,2,3,Phage_Lminus,5,3,2.50E+06,Good,
20210521,EvoC,3,3,Phage_Lminus,0,0,0.00E+00,REMOVE,
20210521,EvoC,4,3,Phage_Lminus,21,5,1.05E+09,Good,
20210521,EvoC,5,3,Phage_Lminus,6,5,3.00E+08,Good,
20210521,EvoC,6,3,Phage_Lminus,16,5,8.00E+08,Good,
20210521,EvoC,7,3,Phage_Lminus,17,4,8.50E+07,Good,
20210521,EvoC,8,3,Phage_Lminus,7,3,3.50E+06,Good,
20210521,EvoC,9,3,Phage_Lminus,14,5,7.00E+08,Good,
20210521,EvoC,10,3,Phage_Lminus,0,0,0.00E+00,REMOVE,
20210521,EvoC,11,3,Phage_Lminus,6,4,3.00E+07,Good,
20210521,EvoC,12,3,Phage_Lminus,0,0,0.00E+00,Good,
20210521,L+O,1,3,Phage_Lminus,7,4,3.50E+07,Good,
20210521,L+O,2,3,Phage_Lminus,10,3,5.00E+06,Good,
20210521,L+O,3,3,Phage_Lminus,3,4,1.50E+07,Good,
20210521,L+O,4,3,Phage_Lminus,15,3,7.50E+06,Good,
20210521,L+O,5,3,Phage_Lminus,26,3,1.30E+07,Good,
20210521,L+O,6,3,Phage_Lminus,0,0,0.00E+00,Good,
20210521,L+O,7,3,Phage_Lminus,11,4,5.50E+07,Good,
20210521,L+O,8,3,Phage_Lminus,4,2,2.00E+05,Good,
20210521,L+O,9,3,Phage_Lminus,0,0,0.00E+00,REMOVE,
20210521,L+O,10,3,Phage_Lminus,23,6,1.15E+10,Good,
20210521,L+O,11,3,Phage_Lminus,14,3,7.00E+06,Good,
20210521,L+O,12,3,Phage_Lminus,26,2,1.30E+06,Good,
20210521,EvoC,1,3,Phage_Ominus,22,4,1.10E+08,Good,
20210521,EvoC,2,3,Phage_Ominus,5,3,2.50E+06,Good,
20210521,EvoC,3,3,Phage_Ominus,0,0,0.00E+00,REMOVE,
20210521,EvoC,4,3,Phage_Ominus,8,6,4.00E+09,Good,
20210521,EvoC,5,3,Phage_Ominus,5,5,2.50E+08,Good,
20210521,EvoC,6,3,Phage_Ominus,13,5,6.50E+08,Good,
20210521,EvoC,7,3,Phage_Ominus,3,6,1.50E+09,Good,
20210521,EvoC,8,3,Phage_Ominus,27,2,1.35E+06,Good,
20210521,EvoC,9,3,Phage_Ominus,5,5,2.50E+08,Good,
20210521,EvoC,10,3,Phage_Ominus,0,0,0.00E+00,REMOVE,
20210521,EvoC,11,3,Phage_Ominus,7,4,3.50E+07,Good,
20210521,EvoC,12,3,Phage_Ominus,0,0,0.00E+00,Good,
20210521,L+O,1,3,Phage_Ominus,10,4,5.00E+07,Good,
20210521,L+O,2,3,Phage_Ominus,6,3,3.00E+06,Good,
20210521,L+O,3,3,Phage_Ominus,7,4,3.50E+07,Good,
20210521,L+O,4,3,Phage_Ominus,2,0,1.00E+03,Good,
20210521,L+O,5,3,Phage_Ominus,6,5,3.00E+08,Good,
20210521,L+O,6,3,Phage_Ominus,0,0,0.00E+00,Good,
20210521,L+O,7,3,Phage_Ominus,5,3,2.50E+06,Good,
20210521,L+O,8,3,Phage_Ominus,6,2,3.00E+05,Good,
20210521,L+O,9,3,Phage_Ominus,0,0,0.00E+00,REMOVE,
20210521,L+O,10,3,Phage_Ominus,11,6,5.50E+09,Good,
20210521,L+O,11,3,Phage_Ominus,3,5,1.50E+08,Good,
20210521,L+O,12,3,Phage_Ominus,2,0,1.00E+03,Good,
20210522,EvoC,1,4,Bacteria,1000,2,1.00E+06,Good,
20210522,EvoC,2,4,Bacteria,222,4,2.22E+07,Good,
